iter	Passed	Remaining
0	1	135
1	2	119
2	3	113
3	4	105
4	5	106
5	6	105
6	8	110
7	9	114
8	11	113
9	12	111
10	13	109
11	14	107
12	15	105
13	16	103
14	18	102
15	19	100
16	20	99
17	21	98
18	23	98
19	24	97
20	25	96
21	27	96
22	28	94
23	29	93
24	30	91
25	31	89
26	32	88
27	34	87
28	35	86
29	36	85
30	38	84
31	39	83
32	40	83
33	42	82
34	45	85
35	47	84
36	49	84
37	51	84
38	53	84
39	55	82
40	56	81
41	57	79
42	58	77
43	60	76
44	61	74
45	62	73
46	65	73
47	66	72
48	67	70
49	69	69
50	70	67
51	71	66
52	72	64
53	74	63
54	74	61
55	76	59
56	77	58
57	78	56
58	79	55
59	81	54
60	82	52
61	83	51
62	85	49
63	86	48
64	87	46
65	88	45
66	89	44
67	90	42
68	91	41
69	92	39
70	94	38
71	96	37
72	97	36
73	98	34
74	100	33
75	101	32
76	102	30
77	103	29
78	105	27
79	106	26
80	107	25
81	108	23
82	109	22
83	110	21
84	111	19
85	112	18
86	114	17
87	115	15
88	116	14
89	118	13
90	119	11
91	120	10
92	121	9
93	123	7
94	124	6
95	126	5
96	127	3
97	128	2
98	129	1
99	130	0
